"id"	"activity"	"mean"
"40"	7	"WALKING"	-0.153995682216284
"41"	7	"WALKING_DOWNSTAIRS"	-0.152405983197827
"42"	7	"WALKING_UPSTAIRS"	-0.343348262765969
"43"	8	"LAYING"	-0.59533678345489
"44"	8	"SITTING"	-0.600673533320371
"45"	8	"STANDING"	-0.605993482687088
"46"	8	"WALKING"	-0.146954599336204
"47"	8	"WALKING_DOWNSTAIRS"	0.00160145094544304
"48"	8	"WALKING_UPSTAIRS"	-0.14179250066879
"49"	9	"LAYING"	-0.627386626286394
"50"	9	"SITTING"	-0.60997046876361
"51"	9	"STANDING"	-0.613981626306951
"52"	9	"WALKING"	-0.252828358805236
"53"	9	"WALKING_DOWNSTAIRS"	-0.156501892566705
"54"	9	"WALKING_UPSTAIRS"	-0.340098264025389
"55"	10	"LAYING"	-0.604927518574841
"56"	10	"SITTING"	-0.596116271283258
"57"	10	"STANDING"	-0.605014811783196
"58"	10	"WALKING"	-0.176003777762687
"59"	10	"WALKING_DOWNSTAIRS"	-0.0933115238128125
"60"	10	"WALKING_UPSTAIRS"	-0.205733713321636
"61"	11	"LAYING"	-0.595303144641248
"62"	11	"SITTING"	-0.598457780278531
"63"	11	"STANDING"	-0.604886977432674
"64"	11	"WALKING"	-0.338059768711685
"65"	11	"WALKING_DOWNSTAIRS"	-0.213173995361216
"66"	11	"WALKING_UPSTAIRS"	-0.362325282497288
"67"	12	"LAYING"	-0.601370216513872
"68"	12	"SITTING"	-0.60855456226386
"69"	12	"STANDING"	-0.605736466078446
"70"	12	"WALKING"	-0.216009503152813
"71"	12	"WALKING_DOWNSTAIRS"	-0.153828979531464
"72"	12	"WALKING_UPSTAIRS"	-0.326609725707612
"73"	13	"LAYING"	-0.602841604257323
"74"	13	"SITTING"	-0.598516189463807
"75"	13	"STANDING"	-0.615774742571177
"76"	13	"WALKING"	-0.174015896411719
"77"	13	"WALKING_DOWNSTAIRS"	-0.154798328885655
"78"	13	"WALKING_UPSTAIRS"	-0.318594652444451
"79"	14	"LAYING"	-0.610177608005162
"80"	14	"SITTING"	-0.623596741200323
"81"	14	"STANDING"	-0.631031797134703
"82"	14	"WALKING"	-0.269661976895567
"83"	14	"WALKING_DOWNSTAIRS"	-0.0195228493394599
"84"	14	"WALKING_UPSTAIRS"	-0.14535777328429
"85"	15	"LAYING"	-0.608613628686864
"86"	15	"SITTING"	-0.60012367783369
"87"	15	"STANDING"	-0.611901288939454
"88"	15	"WALKING"	-0.276794393081715
"89"	15	"WALKING_DOWNSTAIRS"	-0.117572917318394
"90"	15	"WALKING_UPSTAIRS"	-0.286174878885419
"91"	16	"LAYING"	-0.625143853489437
"92"	16	"SITTING"	-0.595799444811891
"93"	16	"STANDING"	-0.614099873786586
"94"	16	"WALKING"	-0.3394456086821
"95"	16	"WALKING_DOWNSTAIRS"	-0.202456371341026
"96"	16	"WALKING_UPSTAIRS"	-0.365971891945078
"97"	17	"LAYING"	-0.599068861906119
"98"	17	"SITTING"	-0.601819633581572
"99"	17	"STANDING"	-0.61632620123835
"100"	17	"WALKING"	-0.276365528036381
"101"	17	"WALKING_DOWNSTAIRS"	-0.230166805184095
"102"	17	"WALKING_UPSTAIRS"	-0.298654572097386
"103"	18	"LAYING"	-0.594513102996289
"104"	18	"SITTING"	-0.597541256457032
"105"	18	"STANDING"	-0.625999518491724
"106"	18	"WALKING"	-0.342449748521331
"107"	18	"WALKING_DOWNSTAIRS"	-0.34903537222669
"108"	18	"WALKING_UPSTAIRS"	-0.409864052034829
"109"	19	"LAYING"	-0.60334569421077
"110"	19	"SITTING"	-0.617821356990207
"111"	19	"STANDING"	-0.619975149879974
"112"	19	"WALKING"	-0.0582919209468765
"113"	19	"WALKING_DOWNSTAIRS"	0.131192702848313
"114"	19	"WALKING_UPSTAIRS"	-0.172522155198731
"115"	20	"LAYING"	-0.603095427272892
"116"	20	"SITTING"	-0.611578372189852
"117"	20	"STANDING"	-0.613397381806977
"118"	20	"WALKING"	-0.0854573801276848
"119"	20	"WALKING_DOWNSTAIRS"	-0.0716770818880729
"120"	20	"WALKING_UPSTAIRS"	-0.206644877774993
"121"	21	"LAYING"	-0.613675758877626
"122"	21	"SITTING"	-0.602270092758525
"123"	21	"STANDING"	-0.620404311959377
"124"	21	"WALKING"	-0.200489403444651
"125"	21	"WALKING_DOWNSTAIRS"	-0.133868540547457
"126"	21	"WALKING_UPSTAIRS"	-0.272735241321592
"127"	22	"LAYING"	-0.597893437112844
"128"	22	"SITTING"	-0.608107074555336
"129"	22	"STANDING"	-0.628399926772542
"130"	22	"WALKING"	-0.121473745947508
"131"	22	"WALKING_DOWNSTAIRS"	-0.131500793139993
"132"	22	"WALKING_UPSTAIRS"	-0.16862879193324
"133"	23	"LAYING"	-0.598603350517156
"134"	23	"SITTING"	-0.591440568414947
"135"	23	"STANDING"	-0.618083379460514
"136"	23	"WALKING"	-0.0788643651638404
"137"	23	"WALKING_DOWNSTAIRS"	-0.000956979995532116
"138"	23	"WALKING_UPSTAIRS"	-0.243025295195815
"139"	24	"LAYING"	-0.598072529579968
"140"	24	"SITTING"	-0.610192323390129
"141"	24	"STANDING"	-0.615423749421368
"142"	24	"WALKING"	-0.309113759019627
"143"	24	"WALKING_DOWNSTAIRS"	-0.21659658268443
"144"	24	"WALKING_UPSTAIRS"	-0.340369136263789
"145"	25	"LAYING"	-0.570587047807129
"146"	25	"SITTING"	-0.604509610361155
"147"	25	"STANDING"	-0.613945839713307
"148"	25	"WALKING"	-0.385361945079112
"149"	25	"WALKING_DOWNSTAIRS"	-0.335078553679007
"150"	25	"WALKING_UPSTAIRS"	-0.426504552177634
"151"	26	"LAYING"	-0.595254205333886
"152"	26	"SITTING"	-0.603944118434526
"153"	26	"STANDING"	-0.613241650652751
"154"	26	"WALKING"	-0.271406731805143
"155"	26	"WALKING_DOWNSTAIRS"	-0.172518329775734
"156"	26	"WALKING_UPSTAIRS"	-0.305115745183321
"157"	27	"LAYING"	-0.594096888281148
"158"	27	"SITTING"	-0.603338306546586
"159"	27	"STANDING"	-0.610806197582251
"160"	27	"WALKING"	-0.266781630894431
"161"	27	"WALKING_DOWNSTAIRS"	-0.158161316639386
"162"	27	"WALKING_UPSTAIRS"	-0.342018443149963
"163"	28	"LAYING"	-0.631110193103237
"164"	28	"SITTING"	-0.616165945460807
"165"	28	"STANDING"	-0.618516796926162
"166"	28	"WALKING"	-0.285088922798751
"167"	28	"WALKING_DOWNSTAIRS"	-0.12543827491249
"168"	28	"WALKING_UPSTAIRS"	-0.295372554581159
"169"	29	"LAYING"	-0.584565825026074
"170"	29	"SITTING"	-0.599502576192753
"171"	29	"STANDING"	-0.609616980359735
"172"	29	"WALKING"	-0.216790400944455
"173"	29	"WALKING_DOWNSTAIRS"	-0.166116177694424
"174"	29	"WALKING_UPSTAIRS"	-0.245353572484911
"175"	30	"LAYING"	-0.610720545199801
"176"	30	"SITTING"	-0.61101762170298
"177"	30	"STANDING"	-0.622602898948469
"178"	30	"WALKING"	-0.245849040422536
"179"	30	"WALKING_DOWNSTAIRS"	-0.215537696652668
"180"	30	"WALKING_UPSTAIRS"	-0.351435833812871
